Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1961","1961","3050","FAO TIER 1","kt","0.289","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1961","1961","3050","FAO TIER 1","kt","0.065","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1961","1961","3050","FAO TIER 1","kt","0.354","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1961","1961","3050","FAO TIER 1","kt","93.8029","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1961","1961","3050","FAO TIER 1","kt","93.8029","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1962","1962","3050","FAO TIER 1","kt","0.3017","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1962","1962","3050","FAO TIER 1","kt","0.0679","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1962","1962","3050","FAO TIER 1","kt","0.3696","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1962","1962","3050","FAO TIER 1","kt","97.9339","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1962","1962","3050","FAO TIER 1","kt","97.9339","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1963","1963","3050","FAO TIER 1","kt","0.3132","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1963","1963","3050","FAO TIER 1","kt","0.0705","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1963","1963","3050","FAO TIER 1","kt","0.3837","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1963","1963","3050","FAO TIER 1","kt","101.671","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1963","1963","3050","FAO TIER 1","kt","101.671","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1964","1964","3050","FAO TIER 1","kt","0.3039","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1964","1964","3050","FAO TIER 1","kt","0.0684","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1964","1964","3050","FAO TIER 1","kt","0.3723","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1964","1964","3050","FAO TIER 1","kt","98.6494","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1964","1964","3050","FAO TIER 1","kt","98.6494","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1965","1965","3050","FAO TIER 1","kt","0.3292","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1965","1965","3050","FAO TIER 1","kt","0.0741","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1965","1965","3050","FAO TIER 1","kt","0.4033","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1965","1965","3050","FAO TIER 1","kt","106.8703","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1965","1965","3050","FAO TIER 1","kt","106.8703","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1966","1966","3050","FAO TIER 1","kt","0.323","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1966","1966","3050","FAO TIER 1","kt","0.0727","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1966","1966","3050","FAO TIER 1","kt","0.3956","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1966","1966","3050","FAO TIER 1","kt","104.846","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1966","1966","3050","FAO TIER 1","kt","104.846","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1967","1967","3050","FAO TIER 1","kt","0.328","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1967","1967","3050","FAO TIER 1","kt","0.0738","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1967","1967","3050","FAO TIER 1","kt","0.4017","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1967","1967","3050","FAO TIER 1","kt","106.4634","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1967","1967","3050","FAO TIER 1","kt","106.4634","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1968","1968","3050","FAO TIER 1","kt","0.375","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1968","1968","3050","FAO TIER 1","kt","0.0844","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1968","1968","3050","FAO TIER 1","kt","0.4594","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1968","1968","3050","FAO TIER 1","kt","121.736","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1968","1968","3050","FAO TIER 1","kt","121.736","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1969","1969","3050","FAO TIER 1","kt","0.4015","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1969","1969","3050","FAO TIER 1","kt","0.0903","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1969","1969","3050","FAO TIER 1","kt","0.4919","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1969","1969","3050","FAO TIER 1","kt","130.3437","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1969","1969","3050","FAO TIER 1","kt","130.3437","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1970","1970","3050","FAO TIER 1","kt","0.4186","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1970","1970","3050","FAO TIER 1","kt","0.0942","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1970","1970","3050","FAO TIER 1","kt","0.5128","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1970","1970","3050","FAO TIER 1","kt","135.892","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1970","1970","3050","FAO TIER 1","kt","135.892","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1971","1971","3050","FAO TIER 1","kt","0.4434","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1971","1971","3050","FAO TIER 1","kt","0.0998","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1971","1971","3050","FAO TIER 1","kt","0.5432","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1971","1971","3050","FAO TIER 1","kt","143.954","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1971","1971","3050","FAO TIER 1","kt","143.954","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1972","1972","3050","FAO TIER 1","kt","0.4558","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1972","1972","3050","FAO TIER 1","kt","0.1026","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1972","1972","3050","FAO TIER 1","kt","0.5584","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1972","1972","3050","FAO TIER 1","kt","147.9669","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1972","1972","3050","FAO TIER 1","kt","147.9669","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1973","1973","3050","FAO TIER 1","kt","0.4688","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1973","1973","3050","FAO TIER 1","kt","0.1055","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1973","1973","3050","FAO TIER 1","kt","0.5743","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1973","1973","3050","FAO TIER 1","kt","152.1956","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1973","1973","3050","FAO TIER 1","kt","152.1956","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1974","1974","3050","FAO TIER 1","kt","0.4805","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1974","1974","3050","FAO TIER 1","kt","0.1081","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1974","1974","3050","FAO TIER 1","kt","0.5887","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1974","1974","3050","FAO TIER 1","kt","155.9946","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1974","1974","3050","FAO TIER 1","kt","155.9946","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1975","1975","3050","FAO TIER 1","kt","0.4707","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1975","1975","3050","FAO TIER 1","kt","0.1059","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1975","1975","3050","FAO TIER 1","kt","0.5766","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1975","1975","3050","FAO TIER 1","kt","152.8043","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1975","1975","3050","FAO TIER 1","kt","152.8043","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1976","1976","3050","FAO TIER 1","kt","0.4669","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1976","1976","3050","FAO TIER 1","kt","0.1051","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1976","1976","3050","FAO TIER 1","kt","0.572","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1976","1976","3050","FAO TIER 1","kt","151.5815","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1976","1976","3050","FAO TIER 1","kt","151.5815","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1977","1977","3050","FAO TIER 1","kt","0.4508","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1977","1977","3050","FAO TIER 1","kt","0.1014","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1977","1977","3050","FAO TIER 1","kt","0.5523","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1977","1977","3050","FAO TIER 1","kt","146.3509","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1977","1977","3050","FAO TIER 1","kt","146.3509","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1978","1978","3050","FAO TIER 1","kt","0.3594","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1978","1978","3050","FAO TIER 1","kt","0.0809","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1978","1978","3050","FAO TIER 1","kt","0.4403","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1978","1978","3050","FAO TIER 1","kt","116.6785","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1978","1978","3050","FAO TIER 1","kt","116.6785","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1979","1979","3050","FAO TIER 1","kt","0.4779","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1979","1979","3050","FAO TIER 1","kt","0.1075","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1979","1979","3050","FAO TIER 1","kt","0.5854","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1979","1979","3050","FAO TIER 1","kt","155.1314","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1979","1979","3050","FAO TIER 1","kt","155.1314","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1980","1980","3050","FAO TIER 1","kt","0.4654","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1980","1980","3050","FAO TIER 1","kt","0.1047","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1980","1980","3050","FAO TIER 1","kt","0.5701","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1980","1980","3050","FAO TIER 1","kt","151.077","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1980","1980","3050","FAO TIER 1","kt","151.077","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1981","1981","3050","FAO TIER 1","kt","0.4607","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1981","1981","3050","FAO TIER 1","kt","0.1036","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1981","1981","3050","FAO TIER 1","kt","0.5643","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1981","1981","3050","FAO TIER 1","kt","149.5408","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1981","1981","3050","FAO TIER 1","kt","149.5408","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1982","1982","3050","FAO TIER 1","kt","0.4355","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1982","1982","3050","FAO TIER 1","kt","0.098","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1982","1982","3050","FAO TIER 1","kt","0.5335","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1982","1982","3050","FAO TIER 1","kt","141.3819","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1982","1982","3050","FAO TIER 1","kt","141.3819","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1983","1983","3050","FAO TIER 1","kt","0.4143","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1983","1983","3050","FAO TIER 1","kt","0.0932","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1983","1983","3050","FAO TIER 1","kt","0.5075","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1983","1983","3050","FAO TIER 1","kt","134.4795","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1983","1983","3050","FAO TIER 1","kt","134.4795","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1984","1984","3050","FAO TIER 1","kt","0.3821","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1984","1984","3050","FAO TIER 1","kt","0.086","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1984","1984","3050","FAO TIER 1","kt","0.468","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1984","1984","3050","FAO TIER 1","kt","124.0313","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1984","1984","3050","FAO TIER 1","kt","124.0313","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1985","1985","3050","FAO TIER 1","kt","0.4129","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1985","1985","3050","FAO TIER 1","kt","0.0929","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1985","1985","3050","FAO TIER 1","kt","0.5058","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1985","1985","3050","FAO TIER 1","kt","134.048","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1985","1985","3050","FAO TIER 1","kt","134.048","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1986","1986","3050","FAO TIER 1","kt","0.4085","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1986","1986","3050","FAO TIER 1","kt","0.0919","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1986","1986","3050","FAO TIER 1","kt","0.5004","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1986","1986","3050","FAO TIER 1","kt","132.6129","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1986","1986","3050","FAO TIER 1","kt","132.6129","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1987","1987","3050","FAO TIER 1","kt","0.4004","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7236","Indirect emissions (N2O)","5064","Crop Residues","1987","1987","3050","FAO TIER 1","kt","0.0901","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7230","Emissions (N2O)","5064","Crop Residues","1987","1987","3050","FAO TIER 1","kt","0.4905","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1987","1987","3050","FAO TIER 1","kt","129.9798","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1987","1987","3050","FAO TIER 1","kt","129.9798","E","Estimated value",""
"GT","Emissions totals","458","Malaysia","7234","Direct emissions (N2O)","5064","Crop Residues","1988","1988","3050","FAO TIER 1","kt","0.413","E","Estimated value",""
