Item,Element,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Total
Oil palm fruit,Area harvested,43302.0,46175.0,49073.0,52900.0,59000.0,67400.0,78500.0,99100.0,125400.0,149900.0,184000.0,235100.0,278300.0,329800.0,385666.0,454009.0,521486.0,603087.0,670299.0,777388.0,848143.0,888619.0,1010879.0,1072451.0,1201010.0,1360579.0,1373147.0,1530905.0,1672096.0,1746054.0,2094028.0,2197660.0,2305925.0,2411999.0,2540087.0,2692286.0,2893089.0,3078116.0,3313393.0,3376664.0,3499012.0,3670243.0,3802040.0,3875327.0,4051374.0,4165215.0,4304913.0,4487957.0,4691160.0,4853766.0,5000109.0,5076929.0,5229739.0,4689321.0,4859397.0,5001438.0,5110713.0,5189344.0,5216822.0,5231743.0,5144180.0,141967757.0
"Oilcrops, Cake Equivalent",Area harvested,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2501294.0,2585026.0,2679066.0,2778413.0,2898408.0,3049486.0,3233964.0,3408716.0,3637901.0,3694709.0,3812825.0,3985794.0,4119988.0,4195186.0,4376724.0,4426193.0,4571068.0,4746725.0,4938861.0,5099614.0,5255124.0,5323044.0,5469959.0,4932241.0,5087999.0,5234109.0,5349711.0,5434059.0,5475966.0,5484602.0,5393932.0,133180707.0
"Oilcrops, Oil Equivalent",Area harvested,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2501294.0,2585026.0,2679066.0,2778413.0,2898408.0,3049486.0,3233964.0,3408716.0,3637901.0,3694709.0,3812825.0,3985794.0,4119988.0,4195186.0,4376724.0,4426193.0,4571068.0,4746725.0,4938861.0,5099614.0,5255124.0,5323044.0,5469959.0,4932241.0,5087999.0,5234109.0,5349711.0,5434059.0,5475966.0,5484602.0,5393932.0,133180707.0
Natural rubber in primary forms,Area harvested,1300000.0,1300000.0,1400000.0,1400000.0,1500000.0,1400000.0,1400000.0,1400000.0,1500000.0,1500000.0,1550000.0,1600000.0,1850000.0,1820000.0,1700000.0,1800000.0,1800000.0,1890000.0,1670000.0,1615000.0,1620000.0,1620000.0,1585000.0,1575000.0,1535000.0,1535000.0,1535000.0,1660000.0,1645000.0,1614000.0,1818700.0,1792300.0,1767800.0,1738000.0,1688800.0,1649500.0,1616400.0,1555700.0,1464750.0,1430680.0,1389320.0,1348810.0,1325611.0,1278800.0,1271280.0,1263590.0,1248010.0,1247030.0,1028230.0,1020400.0,1027040.0,1041190.0,1057271.0,1065600.0,1074386.0,1077993.0,1081698.0,1082992.0,1113131.0,1139140.0,1137140.0,88160292.0
"Cereals, primary",Area harvested,523153.0,550684.0,562184.0,564713.0,590253.0,580838.0,604166.0,669178.0,693311.0,712396.0,740922.0,773059.0,758106.0,749400.0,761513.0,749156.0,733625.0,593800.0,745000.0,723800.0,718000.0,690000.0,680000.0,638000.0,669974.0,665875.0,675954.0,689755.0,683137.0,700647.0,703640.0,693753.0,713434.0,718624.0,695787.0,710468.0,716975.0,701404.0,719389.0,725700.0,695600.0,701500.0,695800.0,704700.0,701200.0,670000.0,679848.0,662917.0,682104.0,686484.0,697275.0,693867.0,681399.0,624286.0,691589.0,698812.0,696025.0,709528.0,679392.0,654169.0,655717.0,41651985.0
Rice,Area harvested,516489.0,544223.0,552947.0,555785.0,581904.0,572995.0,597599.0,660372.0,684234.0,704767.0,734532.0,766177.0,751640.0,740000.0,750339.0,733000.0,723000.0,583000.0,738000.0,716800.0,711000.0,682000.0,666000.0,624000.0,654974.0,650875.0,658954.0,671755.0,664137.0,680647.0,683640.0,672753.0,693434.0,698624.0,672787.0,685468.0,690975.0,674404.0,692389.0,698700.0,673600.0,678500.0,671800.0,680700.0,676200.0,645000.0,673242.0,656602.0,674928.0,677884.0,687516.0,684545.0,671679.0,614579.0,681559.0,688770.0,685548.0,699980.0,672084.0,644908.0,645668.0,40820611.0
"Coconuts, in shell",Area harvested,237000.0,240000.0,265000.0,272000.0,278000.0,277309.0,284093.0,294860.0,304685.0,310000.0,312864.0,317711.0,316000.0,321000.0,337000.0,340000.0,344000.0,353000.0,351000.0,354300.0,360300.0,363100.0,349000.0,317000.0,315000.0,280000.0,320591.0,327812.0,325611.0,315500.0,315900.0,291000.0,266700.0,267000.0,248900.0,228200.0,222000.0,210000.0,200000.0,190000.0,182000.0,180000.0,179000.0,178000.0,175000.0,115000.0,119701.0,111925.0,100362.0,105659.0,106312.0,100996.0,87974.0,88092.0,73167.0,75151.0,74008.0,75072.0,76776.0,74518.0,72663.0,14174812.0
"Other oil seeds, n.e.c.",Area harvested,6000.0,8000.0,8000.0,7000.0,8000.0,17000.0,10000.0,27000.0,11000.0,26500.0,18000.0,20000.0,42000.0,35000.0,35000.0,25000.0,75000.0,78000.0,80000.0,95000.0,105000.0,90000.0,98000.0,98000.0,98000.0,100000.0,90000.0,80000.0,70000.0,80000.0,89966.0,94966.0,105000.0,98000.0,108000.0,128000.0,117975.0,120000.0,124008.0,127666.0,131574.0,135197.0,138648.0,141509.0,150000.0,145740.0,146230.0,146667.0,147149.0,140000.0,148549.0,145000.0,152119.0,154686.0,155342.0,157441.0,164918.0,169577.0,182281.0,178270.0,177023.0,5862001.0
Fruit Primary,Area harvested,42540.0,45440.0,45020.0,47150.0,50190.0,42070.0,42750.0,44080.0,45970.0,50140.0,57140.0,48750.0,42050.0,47050.0,44370.0,48850.0,47675.0,46590.0,48650.0,56581.0,56905.0,54606.0,48396.0,53152.0,88696.0,89691.0,97795.0,96419.0,97014.0,100276.0,98902.0,97308.0,104364.0,103115.0,101776.0,100764.0,97449.0,103395.0,100215.0,97278.0,94719.0,100761.0,105538.0,107273.0,103580.0,97029.0,92552.0,91112.0,95067.0,92283.0,112977.0,103414.0,98307.0,100438.0,90217.0,90830.0,94241.0,89967.0,86689.0,86035.0,86148.0,4749749.0
Cocoa beans,Area harvested,1300.0,1300.0,1000.0,2000.0,2000.0,2000.0,3000.0,3000.0,3000.0,4000.0,7400.0,6500.0,7000.0,12000.0,17000.0,22000.0,27000.0,22723.0,28498.0,34750.0,42445.0,54206.0,71914.0,96551.0,112500.0,146900.0,185500.0,232800.0,264100.0,297600.0,398950.0,378540.0,299995.0,271339.0,190217.0,168219.0,140899.0,117679.0,100803.0,75766.0,57963.0,48631.0,45493.0,42208.0,33994.0,31740.0,28459.0,21411.0,18047.0,20083.0,20847.0,11748.0,13826.0,16102.0,18122.0,16738.0,16871.0,15647.0,5868.0,5715.0,6004.0,4349911.0
