Item,Area harvested,Production
"Abaca, manila hemp, raw",17654.0,33218.0
Areca nuts,110678.0,152003.47999999998
Avocados,361.0,824.0
Bananas,1521709.0,25172384.109999992
Cabbages,116414.0,1483275.29
"Cashew nuts, in shell",317522.0,7685798.0
"Cassava, fresh",1146722.0,2765.24
"Cereals, primary",41651985.0,4447.86
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",111296.0,3011451.0799999996
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",79839.0,614451.7399999999
"Citrus Fruit, Total",307408.0,12491073.3
"Cloves (whole stems), raw",44442.0,17668.57
Cocoa beans,4349911.0,123337174.96000001
"Coconuts, in shell",14174812.0,103212.21999999999
"Coffee, green",736486.0,927630.5899999999
"Coir, raw",0.0,1726556.4199999997
Cucumbers and gherkins,123192.0,10842.460000000001
"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",519189.0,3340012.0
"Fibre Crops, Fibre Equivalent",65434.0,3645674.0
Fruit Primary,4749749.0,55917762.97
"Ginger, raw",53554.0,773603.51
"Groundnuts, excluding shelled",132186.0,2238439.2600000007
"Kenaf, and other textile bast fibres, raw or retted",65434.0,13655.599999999997
Lemons and limes,51000.0,2644025.9200000004
Lettuce and chicory,43539.0,10446.35
Maize (corn),831374.0,75091.47
"Mangoes, guavas and mangosteens",347401.0,3426.2599999999993
Natural rubber in primary forms,88160292.0,194920.20000000004
"Nutmeg, mace, cardamoms, raw",34952.0,1411.87
Oil palm fruit,141967757.0,662.4300000000001
"Oilcrops, Cake Equivalent",133180707.0,3004127.81
"Oilcrops, Oil Equivalent",133180707.0,20278114.48
Okra,55604.0,5780176.48
Oranges,131686.0,9565540.0
"Other citrus fruit, n.e.c.",66219.0,738644.8900000001
"Other fruits, n.e.c.",402918.0,258677.53999999998
"Other oil seeds, n.e.c.",5862001.0,66938960.989999995
"Other stimulant, spice and aromatic crops, n.e.c.",976.0,294198.88999999996
"Other tropical fruits, n.e.c.",957597.0,978.97
"Other vegetables, fresh n.e.c.",1079605.0,30563.079999999994
Papayas,164421.0,432728.16000000003
"Pepper (Piper spp.), raw",630881.0,300830457.0
Pineapples,711492.0,7057.909999999999
Pomelos and grapefruits,58504.0,258677.53999999998
"Pumpkins, squash and gourds",38009.0,307219.44999999995
Rice,40820611.0,754062.1300000001
"Roots and Tubers, Total",1894344.0,2318612.06
Soya beans,2005.0,1812054.61
Spinach,103461.0,5840107.149999999
Sugar Crops Primary,777997.0,390599.30999999994
Sugar cane,777997.0,1092675.0799999998
Sweet potatoes,228434.0,34873366.800000004
Tea leaves,174068.0,3339273.56
Tomatoes,62887.0,69397.71
"Treenuts, Total",317522.0,10145765.8
Unmanufactured tobacco,502789.0,39761.43
Vegetables Primary,1702546.0,38212640.36
Watermelons,336439.0,49957896.65999999
