Item,Area harvested,Production,Cluster_Class
"Abaca, manila hemp, raw",17654.0,33218.0,2
Areca nuts,110678.0,152003.47999999998,2
Avocados,361.0,824.0,2
Bananas,1521709.0,25172384.109999992,2
Cabbages,116414.0,1483275.29,2
"Cashew nuts, in shell",317522.0,7685798.0,2
"Cassava, fresh",1146722.0,2765.24,2
"Cereals, primary",41651985.0,4447.86,2
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",111296.0,3011451.0799999996,2
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",79839.0,614451.7399999999,2
"Citrus Fruit, Total",307408.0,12491073.3,2
"Cloves (whole stems), raw",44442.0,17668.57,2
Cocoa beans,4349911.0,123337174.96000001,2
"Coconuts, in shell",14174812.0,103212.21999999999,2
"Coffee, green",736486.0,927630.5899999999,2
"Coir, raw",0.0,1726556.4199999997,2
Cucumbers and gherkins,123192.0,10842.460000000001,2
"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",519189.0,3340012.0,2
"Fibre Crops, Fibre Equivalent",65434.0,3645674.0,2
Fruit Primary,4749749.0,55917762.97,2
"Ginger, raw",53554.0,773603.51,2
"Groundnuts, excluding shelled",132186.0,2238439.2600000007,2
"Kenaf, and other textile bast fibres, raw or retted",65434.0,13655.599999999997,2
Lemons and limes,51000.0,2644025.9200000004,2
Lettuce and chicory,43539.0,10446.35,2
Maize (corn),831374.0,75091.47,2
"Mangoes, guavas and mangosteens",347401.0,3426.2599999999993,2
Natural rubber in primary forms,88160292.0,194920.20000000004,1
"Nutmeg, mace, cardamoms, raw",34952.0,1411.87,2
Oil palm fruit,141967757.0,662.4300000000001,1
"Oilcrops, Cake Equivalent",133180707.0,3004127.81,1
"Oilcrops, Oil Equivalent",133180707.0,20278114.48,1
Okra,55604.0,5780176.48,2
Oranges,131686.0,9565540.0,2
"Other citrus fruit, n.e.c.",66219.0,738644.8900000001,2
"Other fruits, n.e.c.",402918.0,258677.53999999998,2
"Other oil seeds, n.e.c.",5862001.0,66938960.989999995,2
"Other stimulant, spice and aromatic crops, n.e.c.",976.0,294198.88999999996,2
"Other tropical fruits, n.e.c.",957597.0,978.97,2
"Other vegetables, fresh n.e.c.",1079605.0,30563.079999999994,2
Papayas,164421.0,432728.16000000003,2
"Pepper (Piper spp.), raw",630881.0,300830457.0,0
Pineapples,711492.0,7057.909999999999,2
Pomelos and grapefruits,58504.0,258677.53999999998,2
"Pumpkins, squash and gourds",38009.0,307219.44999999995,2
Rice,40820611.0,754062.1300000001,2
"Roots and Tubers, Total",1894344.0,2318612.06,2
Soya beans,2005.0,1812054.61,2
Spinach,103461.0,5840107.149999999,2
Sugar Crops Primary,777997.0,390599.30999999994,2
Sugar cane,777997.0,1092675.0799999998,2
Sweet potatoes,228434.0,34873366.800000004,2
Tea leaves,174068.0,3339273.56,2
Tomatoes,62887.0,69397.71,2
"Treenuts, Total",317522.0,10145765.8,2
Unmanufactured tobacco,502789.0,39761.43,2
Vegetables Primary,1702546.0,38212640.36,2
Watermelons,336439.0,49957896.65999999,2
